,0,1,2
228,261.39,111.35,2.0
229,651.41,103.48,2.0
230,67.07,80.28,1.0
231,77.49,96.39,2.0
232,140.75,99.53,2.0
233,340.03,93.46,2.0
234,629.46,95.9,2.0
235,55.85,79.62,1.0
236,95.84,83.79,2.0
237,152.22,90.48,2.0
238,320.47,88.95,2.0
239,680.51,87.19,2.0
240,56.41,74.94,1.0
241,100.0,78.01,2.0
242,163.64,83.41,2.0
243,392.62,78.5,2.0
244,609.58,85.41,2.0
245,58.16,70.64,2.0
246,106.25,72.81,2.0
247,196.79,74.7,2.0
248,307.07,81.14,2.0
249,637.65,80.13,2.0
250,46.74,84.49,1.0
251,147.08,72.64,1.0
252,311.04,71.31,1.0
253,207.21,102.87,2.0
254,382.94,105.61,2.0
255,58.27,71.93,1.0
256,131.97,69.01,1.0
257,362.78,62.07,1.0
258,155.83,103.64,2.0
259,415.55,94.17,2.0
260,46.98,72.12,1.0
261,170.91,59.08,1.0
262,355.47,58.31,1.0
263,182.76,91.71,2.0
264,352.46,92.83,2.0
265,68.08,60.18,1.0
266,163.53,56.62,1.0
267,306.76,57.84,1.0
268,192.95,85.05,2.0
269,414.49,83.05,2.0
270,78.75,54.59,1.0
271,183.22,51.91,1.0
272,418.62,49.66,1.0
273,183.75,82.32,2.0
274,409.12,79.43,2.0
275,44.91,95.78,1.0
276,30.91,136.67,2.0
277,65.61,133.98,2.0
278,105.44,144.12,2.0
279,235.37,138.94,2.0
280,46.58,86.69,1.0
281,53.69,104.17,2.0
282,72.39,118.81,2.0
283,146.7,118.28,2.0
284,238.26,126.78,2.0
285,55.52,76.3,1.0
286,54.1,96.96,2.0
287,74.14,109.98,2.0
288,150.23,109.5,2.0
289,222.58,121.02,2.0
290,58.39,70.85,1.0
291,55.59,90.74,2.0
292,57.54,113.02,2.0
293,147.95,103.94,2.0
294,221.25,114.51,2.0
295,62.54,65.94,1.0
296,43.57,93.72,2.0
297,65.24,103.21,2.0
298,128.95,103.62,2.0
299,204.36,111.98,2.0
300,30.38,95.31,1.0
301,75.47,88.66,1.0
302,14.46,193.78,2.0
303,28.02,195.81,2.0
304,106.04,158.32,2.0
305,25.71,92.33,1.0
306,85.14,78.04,1.0
307,16.8,168.87,2.0
308,32.78,170.28,2.0
309,113.61,141.77,2.0
310,16.02,100.85,1.0
311,75.02,75.96,1.0
312,26.22,135.85,2.0
313,38.14,151.08,2.0
314,99.33,138.35,2.0
315,15.8,95.69,1.0
316,27.13,100.68,1.0
317,25.27,129.88,2.0
318,32.97,149.77,2.0
319,121.4,122.19,2.0
320,42.35,65.6,1.0
