,0,1,2,3,4,5,6,7
90,75.0,2.5,5.0,2.5,3.5,3.5,19.0,0.066096
91,75.0,2.5,5.0,2.5,3.5,3.5,19.0,0.132192
92,75.0,2.5,5.0,2.5,3.5,3.5,19.0,0.264384
93,75.0,2.5,5.0,2.5,3.5,3.5,19.0,0.528768
94,75.0,2.5,5.0,2.5,3.5,3.5,19.0,1.057536
95,75.0,2.5,5.0,2.5,3.5,3.5,22.0,0.066096
96,75.0,2.5,5.0,2.5,3.5,3.5,22.0,0.132192
97,75.0,2.5,5.0,2.5,3.5,3.5,22.0,0.264384
98,75.0,2.5,5.0,2.5,3.5,3.5,22.0,0.528768
99,75.0,2.5,5.0,2.5,3.5,3.5,22.0,1.057536
100,75.0,3.0,6.0,3.0,4.0,4.0,10.0,0.066096
101,75.0,3.0,6.0,3.0,4.0,4.0,10.0,0.132192
102,75.0,3.0,6.0,3.0,4.0,4.0,10.0,0.264384
103,75.0,3.0,6.0,3.0,4.0,4.0,10.0,0.528768
104,75.0,3.0,6.0,3.0,4.0,4.0,10.0,1.057536
105,75.0,3.0,6.0,3.0,4.0,4.0,13.0,0.066096
106,75.0,3.0,6.0,3.0,4.0,4.0,13.0,0.132192
107,75.0,3.0,6.0,3.0,4.0,4.0,13.0,0.264384
108,75.0,3.0,6.0,3.0,4.0,4.0,13.0,0.528768
109,75.0,3.0,6.0,3.0,4.0,4.0,13.0,1.057536
110,75.0,3.0,6.0,3.0,4.0,4.0,16.0,0.066096
111,75.0,3.0,6.0,3.0,4.0,4.0,16.0,0.132192
112,75.0,3.0,6.0,3.0,4.0,4.0,16.0,0.264384
113,75.0,3.0,6.0,3.0,4.0,4.0,16.0,0.528768
114,75.0,3.0,6.0,3.0,4.0,4.0,16.0,1.057536
115,75.0,3.0,6.0,3.0,4.0,4.0,19.0,0.066096
116,75.0,3.0,6.0,3.0,4.0,4.0,19.0,0.132192
117,75.0,3.0,6.0,3.0,4.0,4.0,19.0,0.264384
118,75.0,3.0,6.0,3.0,4.0,4.0,19.0,0.528768
119,75.0,3.0,6.0,3.0,4.0,4.0,19.0,1.057536
120,75.0,3.0,6.0,3.0,4.0,4.0,22.0,0.066096
121,75.0,3.0,6.0,3.0,4.0,4.0,22.0,0.132192
122,75.0,3.0,6.0,3.0,4.0,4.0,22.0,0.264384
123,75.0,3.0,6.0,3.0,4.0,4.0,22.0,0.528768
124,75.0,3.0,6.0,3.0,4.0,4.0,22.0,1.057536
125,100.0,1.0,3.0,2.0,3.5,4.0,10.0,0.066096
126,100.0,1.0,3.0,2.0,3.5,4.0,10.0,0.132192
127,100.0,1.0,3.0,2.0,3.5,4.0,10.0,0.264384
128,100.0,1.0,3.0,2.0,3.5,4.0,10.0,0.528768
129,100.0,1.0,3.0,2.0,3.5,4.0,10.0,1.057536
130,100.0,1.0,3.0,2.0,3.5,4.0,13.0,0.066096
131,100.0,1.0,3.0,2.0,3.5,4.0,13.0,0.132192
132,100.0,1.0,3.0,2.0,3.5,4.0,13.0,0.264384
133,100.0,1.0,3.0,2.0,3.5,4.0,13.0,0.528768
134,100.0,1.0,3.0,2.0,3.5,4.0,13.0,1.057536
135,100.0,1.0,3.0,2.0,3.5,4.0,16.0,0.066096
136,100.0,1.0,3.0,2.0,3.5,4.0,16.0,0.132192
137,100.0,1.0,3.0,2.0,3.5,4.0,16.0,0.264384
138,100.0,1.0,3.0,2.0,3.5,4.0,16.0,0.528768
139,100.0,1.0,3.0,2.0,3.5,4.0,16.0,1.057536
140,100.0,1.0,3.0,2.0,3.5,4.0,19.0,0.066096
141,100.0,1.0,3.0,2.0,3.5,4.0,19.0,0.132192
142,100.0,1.0,3.0,2.0,3.5,4.0,19.0,0.264384
143,100.0,1.0,3.0,2.0,3.5,4.0,19.0,0.528768
144,100.0,1.0,3.0,2.0,3.5,4.0,19.0,1.057536
145,100.0,1.0,3.0,2.0,3.5,4.0,22.0,0.066096
146,100.0,1.0,3.0,2.0,3.5,4.0,22.0,0.132192
147,100.0,1.0,3.0,2.0,3.5,4.0,22.0,0.264384
148,100.0,1.0,3.0,2.0,3.5,4.0,22.0,0.528768
149,100.0,1.0,3.0,2.0,3.5,4.0,22.0,1.057536
150,100.0,1.5,4.0,2.5,4.0,2.0,10.0,0.066096
151,100.0,1.5,4.0,2.5,4.0,2.0,10.0,0.132192
152,100.0,1.5,4.0,2.5,4.0,2.0,10.0,0.264384
153,100.0,1.5,4.0,2.5,4.0,2.0,10.0,0.528768
154,100.0,1.5,4.0,2.5,4.0,2.0,10.0,1.057536
155,100.0,1.5,4.0,2.5,4.0,2.0,13.0,0.066096
156,100.0,1.5,4.0,2.5,4.0,2.0,13.0,0.132192
157,100.0,1.5,4.0,2.5,4.0,2.0,13.0,0.264384
158,100.0,1.5,4.0,2.5,4.0,2.0,13.0,0.528768
159,100.0,1.5,4.0,2.5,4.0,2.0,13.0,1.057536
160,100.0,1.5,4.0,2.5,4.0,2.0,16.0,0.066096
161,100.0,1.5,4.0,2.5,4.0,2.0,16.0,0.132192
162,100.0,1.5,4.0,2.5,4.0,2.0,16.0,0.264384
163,100.0,1.5,4.0,2.5,4.0,2.0,16.0,0.528768
164,100.0,1.5,4.0,2.5,4.0,2.0,16.0,1.057536
165,100.0,1.5,4.0,2.5,4.0,2.0,19.0,0.066096
166,100.0,1.5,4.0,2.5,4.0,2.0,19.0,0.132192
167,100.0,1.5,4.0,2.5,4.0,2.0,19.0,0.264384
168,100.0,1.5,4.0,2.5,4.0,2.0,19.0,0.528768
169,100.0,1.5,4.0,2.5,4.0,2.0,19.0,1.057536
170,100.0,1.5,4.0,2.5,4.0,2.0,22.0,0.066096
171,100.0,1.5,4.0,2.5,4.0,2.0,22.0,0.132192
172,100.0,1.5,4.0,2.5,4.0,2.0,22.0,0.264384
173,100.0,1.5,4.0,2.5,4.0,2.0,22.0,0.528768
174,100.0,1.5,4.0,2.5,4.0,2.0,22.0,1.057536
175,100.0,2.0,5.0,3.0,2.0,2.5,10.0,0.066096
176,100.0,2.0,5.0,3.0,2.0,2.5,10.0,0.132192
177,100.0,2.0,5.0,3.0,2.0,2.5,10.0,0.264384
178,100.0,2.0,5.0,3.0,2.0,2.5,10.0,0.528768
179,100.0,2.0,5.0,3.0,2.0,2.5,10.0,1.057536
180,100.0,2.0,5.0,3.0,2.0,2.5,13.0,0.066096
181,100.0,2.0,5.0,3.0,2.0,2.5,13.0,0.132192
182,100.0,2.0,5.0,3.0,2.0,2.5,13.0,0.264384
183,100.0,2.0,5.0,3.0,2.0,2.5,13.0,0.528768
184,100.0,2.0,5.0,3.0,2.0,2.5,13.0,1.057536
185,100.0,2.0,5.0,3.0,2.0,2.5,16.0,0.066096
186,100.0,2.0,5.0,3.0,2.0,2.5,16.0,0.132192
187,100.0,2.0,5.0,3.0,2.0,2.5,16.0,0.264384
188,100.0,2.0,5.0,3.0,2.0,2.5,16.0,0.528768
189,100.0,2.0,5.0,3.0,2.0,2.5,16.0,1.057536
190,100.0,2.0,5.0,3.0,2.0,2.5,19.0,0.066096
191,100.0,2.0,5.0,3.0,2.0,2.5,19.0,0.132192
192,100.0,2.0,5.0,3.0,2.0,2.5,19.0,0.264384
193,100.0,2.0,5.0,3.0,2.0,2.5,19.0,0.528768
194,100.0,2.0,5.0,3.0,2.0,2.5,19.0,1.057536
195,100.0,2.0,5.0,3.0,2.0,2.5,22.0,0.066096
196,100.0,2.0,5.0,3.0,2.0,2.5,22.0,0.132192
197,100.0,2.0,5.0,3.0,2.0,2.5,22.0,0.264384
198,100.0,2.0,5.0,3.0,2.0,2.5,22.0,0.528768
199,100.0,2.0,5.0,3.0,2.0,2.5,22.0,1.057536
200,100.0,2.5,6.0,1.0,2.5,3.0,10.0,0.066096
201,100.0,2.5,6.0,1.0,2.5,3.0,10.0,0.132192
202,100.0,2.5,6.0,1.0,2.5,3.0,10.0,0.264384
